cd_cvm;cnpj;empresa;ano;roe;roa;endividamento;liquidez_corrente;margem_operacional;caixa;crescimento_receita;crescimento_ativos;receita;ativo_total;lucro_liquido;patrimonio_liquido
015199;00.897.864/0001-58;SANTA CATARINA PART INVEST SA;2021;0.00114074127374;-4.58207452165;401775.176234;0;;0;;-0.550826239359;0;1986000;-91000;-7977269000
015199;00.897.864/0001-58;SANTA CATARINA PART INVEST SA;2022;0.000965243947231;-3.85;398962.9;8.02084215835e-06;;64000;;0.704934541793;0;2000000;-77000;-7977258000
015199;00.897.864/0001-58;SANTA CATARINA PART INVEST SA;2023;0.00140398028411;-5.91966173362;421734.249471;1.25325658724e-07;;1000;;-5.4;0;1892000;-112000;-7977320000
015199;00.897.864/0001-58;SANTA CATARINA PART INVEST SA;2024;11.0878394682;-2371586.44068;21389176.2712;0;;0;;-96.8816067653;0;59000;-1399236000;-12619555000
015199;00.897.864/0001-58;SANTA CATARINA PART INVEST SA;2025;12.4188085569;-3032893.22034;24421872.8814;0;;0;;0;0;59000;-1789407000;-14408846000
015369;00.924.429/0001-75;FERROVIA CENTRO-ATLANTICA S.A.;2020;-4.37229833054;-2.24909190372;48.5604198595;0.686915756435;-0.0227561489011;360825000;;;2689383000;9099806000;-204663000;4680902000
015369;00.924.429/0001-75;FERROVIA CENTRO-ATLANTICA S.A.;2021;-9.20510544547;-4.89075886628;46.8690620086;0.486410216857;-8.09067677096;193828000;7.3366270256;-6.41986213772;2886693000;8515611000;-416478000;4524424000
015369;00.924.429/0001-75;FERROVIA CENTRO-ATLANTICA S.A.;2022;-128.187261445;-38.6272902723;69.866514163;0.722778534049;-59.3813707292;443958000;5.6091174226;-22.730747095;3048611000;6579949000;-2541656000;1982768000
015369;00.924.429/0001-75;FERROVIA CENTRO-ATLANTICA S.A.;2023;-84.2525977731;-16.2446987492;80.7190529686;0.551321549797;-17.1522320538;192436000;14.5038182963;-15.1782179467;3490776000;5581230000;-906654000;1076114000
015369;00.924.429/0001-75;FERROVIA CENTRO-ATLANTICA S.A.;2024;17.6579043228;3.66410402327;79.2494966771;0.695462509211;13.1591142545;517618000;11.8883594937;15.6751110418;3905772000;6456094000;236558000;1339672000
015369;00.924.429/0001-75;FERROVIA CENTRO-ATLANTICA S.A.;2025;1.2792392907;0.624142409926;51.2098780531;0.992492939574;2.00004493112;573208000;-7.6874174939;7.39735202121;3605519000;6933674000;43276000;3382948000
